distance_from_peak_center_bp	distance_from_peak_center_mb	methylation_H3K27ac_peaks	support_H3K27ac_peaks	bootstrap_mean	bootstrap_std
-470900	-0.4709	0.8696626969062378	33	0.7026191784925212	0.07752661260756098
-470800	-0.4708	0.7962346079356668	31	0.654865890445391	0.04767639361736423
-470700	-0.4707	0.7365235674941044	31	0.737520107141118	0.06233878564121063
-470600	-0.4706	0.7576052317104159	37	0.6697586167172205	0.08625186654453516
-470500	-0.4705	0.7390694183860842	32	0.6895746212362349	0.0554776013794775
-470400	-0.4704	0.7729989107372025	25	0.7712021007672853	0.07225375604644639
-470300	-0.4703	0.8005806860824615	33	0.6786431378982011	0.11028518612258034
-470200	-0.4702	0.7228800934644671	32	0.7028870893391027	0.039949717114876854
-470100	-0.4701	0.7591265747137382	33	0.7050178144488202	0.09896118966202909
-470000	-0.47	0.7551402303585476	32	0.7298099180446751	0.04290330102135391
-469900	-0.4699	0.7944386302078037	35	0.7494495987368278	0.0426803801191142
-469800	-0.4698	0.7758050681214801	32	0.6562542520287661	0.08191979955401381
-469700	-0.4697	0.7458874446579803	34	0.6982990606245605	0.06683193983371481
-469600	-0.4696	0.7871343664708478	35	0.6916550644153419	0.04335745250282996
-469500	-0.4695	0.7711456026722503	33	0.6537119213353297	0.06869196592842186
-469400	-0.4694	0.7735204575641391	34	0.7155919977200815	0.06740162766775845
-469300	-0.4693	0.836562295783293	32	0.6574985325670982	0.0943807212066643
-469200	-0.4692	0.7758315913426795	23	0.7130376578252277	0.08700128357179436
-469100	-0.4691	0.8115884856361442	33	0.7209910487728909	0.09422096431687382
-469000	-0.469	0.8205926025807656	35	0.7057793074095834	0.08462835272470122
-468900	-0.4689	0.7374074210638165	29	0.6905937472317444	0.07139000737656581
-468800	-0.4688	0.8295077695996341	35	0.7004504801887894	0.03823177213052828
-468700	-0.4687	0.8806090057157957	34	0.7275765593202521	0.06157326994486961
-468600	-0.4686	0.840519386956679	37	0.6998984754174773	0.10381977528019205
-468500	-0.4685	0.7966425569983953	32	0.7287113907958817	0.0966283487037474
-468400	-0.4684	0.776900739296654	36	0.7424063753755454	0.09791836607622541
-468300	-0.4683	0.797172764881975	38	0.7147908801240177	0.07200636141162271
-468200	-0.4682	0.8258745673266952	30	0.6922368947856385	0.05677969698127528
-468100	-0.4681	0.7521028457196854	31	0.7167773346440931	0.05776088312347031
-468000	-0.468	0.8609590871974484	29	0.7405555203065453	0.053452795520626505
-467900	-0.4679	0.8693632964481445	35	0.7495089240106403	0.05370314926750827
-467800	-0.4678	0.8100682756910742	31	0.728807104251341	0.04606463994372067
-467700	-0.4677	0.7868213856783826	31	0.7486730885568041	0.03899896058471224
-467600	-0.4676	0.7555197454478333	27	0.7369855499626965	0.050250193207893326
-467500	-0.4675	0.7771556954623142	33	0.6917750568609792	0.044906498165879404
-467400	-0.4674	0.8299308234071662	28	0.7022784284969822	0.048862493796916165
-467300	-0.4673	0.804847150200096	34	0.7266342775475467	0.051480073816381415
-467200	-0.4672	0.7424640401709797	28	0.7235159457755493	0.05806499836580725
-467100	-0.4671	0.8014866318299821	30	0.7164105818453768	0.040268332089797694
-467000	-0.467	0.7769423475955242	29	0.7378716325930295	0.10479921180818401
-466900	-0.4669	0.7792608443200864	31	0.7332450390633487	0.06706847051959568
-466800	-0.4668	0.7376439741139039	33	0.7406186970243253	0.062438500212793194
-466700	-0.4667	0.7728723609250199	34	0.661862833661142	0.10769233881603256
-466600	-0.4666	0.8085323473161916	33	0.6956793093743233	0.041468649816037116
-466500	-0.4665	0.8170300481487287	35	0.6551722858714314	0.07522288187112589
-466400	-0.4664	0.7712671542198233	33	0.6578823199697804	0.07499144132366904
-466300	-0.4663	0.7655754532510078	29	0.7242361181675738	0.06252398332543772
-466200	-0.4662	0.7726168137368324	37	0.6968845925605034	0.09728350004331437
-466100	-0.4661	0.8659769397629501	32	0.7180013102392369	0.06541318772404951
-466000	-0.466	0.794245406119761	37	0.6756062306323617	0.04234122679458079
-465900	-0.4659	0.7853290554035787	28	0.7487872909658828	0.07890560908640651
-465800	-0.4658	0.7460125956800541	29	0.6935491878962894	0.0526095080446613
-465700	-0.4657	0.7068343926077577	35	0.707532343022397	0.07595082912149448
-465600	-0.4656	0.7205277345787626	33	0.7203437286560292	0.0515414144768188
-465500	-0.4655	0.7898227427840144	21	0.7650605348891352	0.06441019672038767
-465400	-0.4654	0.7675321138268353	23	0.7131451233391656	0.1355032290671555
-465300	-0.4653	0.7250028418809321	30	0.7331467914551023	0.0860147478961535
-465200	-0.4652	0.7635780942638651	31	0.727399880829398	0.06410793457962925
-465100	-0.4651	0.7344459594483097	27	0.744667616922909	0.10048493939443875
-465000	-0.465	0.755713034662254	32	0.7442840053890295	0.04658331132959188
-464900	-0.4649	0.7253006581497948	31	0.7705075725934094	0.04327550998886058
-464800	-0.4648	0.7117857738704582	28	0.7765745811919681	0.03498948439096558
-464700	-0.4647	0.733623117073409	27	0.7350180741508818	0.06252211314350174
